epoch,train_loss,val_loss,val_precision,val_recall,val_f1
1,0.0768689290020201,0.05090307506237635,0.8157486420419905,0.9981015657341711,0.8977583093663667
2,0.034659169825414816,0.033480628250597555,0.8146284826568776,0.9990507826297813,0.8974627322442988
3,0.026006063886193767,0.03027945972398238,0.8082086686581479,0.999525616224134,0.8937428774377518
4,0.024186630496341323,0.0258506730724321,0.8770320963413789,0.9985761741819762,0.9338654581878889
5,0.020730752060707243,0.03323230924492859,0.888888888513355,0.9985761741819762,0.940544874536176
6,0.02397171506192535,0.03239804798544481,0.8794979075818001,0.997626957286366,0.9348449540885516
7,0.020686251744627952,0.03428751501441888,0.7754050070782751,0.9995253910775865,0.8733148714915838
8,0.020826950531659855,0.02919225989579025,0.874948067771106,0.9995253910775865,0.9330965332529887
9,0.020520650527646973,0.029656110988103748,0.8644975284742598,0.9962031319429506,0.9256885869923869
10,0.018676236762872174,0.025902046161101894,0.8954081628846055,0.9995253910775865,0.9446059150802264
11,0.017130508870921202,0.031159678706899285,0.8554021117565386,0.9995253910775865,0.9218642432586576
12,0.016680573743457595,0.030452481008316948,0.888607594561769,0.9995253910775865,0.9408080784776618
13,0.016038995791330106,0.029807999880024312,0.8811715477484638,0.9995253910775865,0.9366239178413736
14,0.01513792171401696,0.02219699535624918,0.9003847794354918,0.9995253910775865,0.9473679219881943
15,0.01330347596667707,0.028926223196356706,0.9142359595497449,0.9966777403907557,0.953677974612248
16,0.014130024334881454,0.03120926167495055,0.8911939030943294,0.9990507826297813,0.9420447014750963
17,0.014887609846579532,0.030145906298127863,0.8843566018148207,0.9981015657341711,0.9377921435480501
18,0.012937022177502512,0.028124301953118862,0.9124403983907932,0.9990507826297813,0.9537829169969696
19,0.012158752432506945,0.02802941900193907,0.8991452987610491,0.9985761741819762,0.9462554038031615
20,0.010647092597145174,0.02696981705964945,0.9022717527208437,0.9990507826297813,0.9481976990667951
21,0.010627527888864279,0.023272286494512098,0.9108610986971609,0.9990507826297813,0.9529193738807465
22,0.00837810299747313,0.020861543694997757,0.9068162204888628,0.997626957286366,0.9500559978828628
23,0.009344387099198583,0.022554831228697367,0.8536090831899396,0.9990507826297813,0.9206205391977914
24,0.009356532329176034,0.027335867426471948,0.9143850495808844,0.9985761741819762,0.954627449718909
25,0.009756574619871875,0.025012766382764687,0.9160139247536928,0.9990507826297813,0.9557316230943351
26,0.009451534446173658,0.03073893416254625,0.9030874781719179,0.9995253910775865,0.9488618572439148
27,0.009229337574862358,0.026476115890718802,0.9014567262633005,0.9985761741819762,0.9475338399927057
28,0.00911658620591172,0.028418269831368557,0.9038213821795529,0.9990507826297813,0.9490527019066866
29,0.008927104792091996,0.03016162299339695,0.9115734716464788,0.9981015657341711,0.9528767094758579
30,0.009155963112134487,0.027402333314192794,0.9033505150758804,0.9981015657341711,0.9483647770260983
31,0.00799267512306364,0.02711030170302085,0.9045981947122483,0.9990507826297813,0.9494807818132669
32,0.00785179814711834,0.02586704312087154,0.9061154173530942,0.9985761741819762,0.9501011038201408
33,0.007766104025973214,0.025661833840083192,0.91998250943595,0.9985761741819762,0.9576690497889508
34,0.007945286951079551,0.029171433372452954,0.9022717527208437,0.9990507826297813,0.9481976990667951
35,0.007702333079650998,0.027463524315952503,0.9076790332581195,0.9985761741819762,0.9509599526847139
36,0.00751072528720316,0.028586384935926603,0.9034334760071101,0.9990507826297813,0.9488388066728384
37,0.0077085747251597544,0.024441379257469514,0.9073275858158071,0.9990507826297813,0.9509821074595252
38,0.007287528241156704,0.02935200083941857,0.9136284718256822,0.9990507826297813,0.954431602129087
39,0.007966006618096596,0.029543323877340075,0.8976982093360195,0.9995253910775865,0.9458786835893057
40,0.007553730581680106,0.03132933697828804,0.9060344823680886,0.997626957286366,0.9496267878305918
41,0.007614805185908659,0.02931977719361019,0.9061962130351996,0.9995253910775865,0.9505749916302404
42,0.006638103445293381,0.028052708411873867,0.9136659432044834,0.9995253910775865,0.9546685848900036
43,0.006520487820186342,0.028363160937819654,0.9119305852876657,0.997626957286366,0.9528553482634461
44,0.005942811631442358,0.02581840045236931,0.9044339212636962,0.9971523488385609,0.9485322321377
45,0.006226193242732228,0.031078825134096842,0.8952745845486273,0.9981015657341711,0.9438953717874206
46,0.006677786418392013,0.028689110368671833,0.9022717527208437,0.9990507826297813,0.9481976990667951
47,0.005807177486648369,0.027636081271200784,0.917975566789714,0.9985761741819762,0.9565805415953791
48,0.005981074556863556,0.029852539762357907,0.9086975331420608,0.9966777403907557,0.9506559062493588
49,0.006267673190062245,0.028281713685738674,0.8826487842067692,0.9995253910775865,0.9374577699284994
50,0.008329950137089731,0.041605336228097645,0.8452572343869545,0.9863977481302075,0.9103891129646087
